"","ID","t","N","Time_units","PopBio_units","Species","Temperature"
"1","Chryseobacterium.balustinum_5_TSB",669.879518072289,0.28327571154182,"Hours","OD_595","Chryseobacterium.balustinum",5
"2","Chryseobacterium.balustinum_5_TSB",646.987951807229,0.283342063907805,"Hours","OD_595","Chryseobacterium.balustinum",5
"3","Chryseobacterium.balustinum_5_TSB",622.89156626506,0.285151038938362,"Hours","OD_595","Chryseobacterium.balustinum",5
"4","Chryseobacterium.balustinum_5_TSB",597.590361445783,0.28174611489436,"Hours","OD_595","Chryseobacterium.balustinum",5
"5","Chryseobacterium.balustinum_5_TSB",574.698795180723,0.273116815086433,"Hours","OD_595","Chryseobacterium.balustinum",5
"6","Chryseobacterium.balustinum_5_TSB",550.602409638554,0.257534485769164,"Hours","OD_595","Chryseobacterium.balustinum",5
"7","Chryseobacterium.balustinum_5_TSB",526.506024096385,0.257604330364938,"Hours","OD_595","Chryseobacterium.balustinum",5
"8","Chryseobacterium.balustinum_5_TSB",502.409638554217,0.245500261917235,"Hours","OD_595","Chryseobacterium.balustinum",5
"9","Chryseobacterium.balustinum_5_TSB",479.518072289157,0.247305744718002,"Hours","OD_595","Chryseobacterium.balustinum",5
"10","Chryseobacterium.balustinum_5_TSB",454.21686746988,0.250857342413131,"Hours","OD_595","Chryseobacterium.balustinum",5
"11","Chryseobacterium.balustinum_5_TSB",431.325301204819,0.235271520866073,"Hours","OD_595","Chryseobacterium.balustinum",5
"12","Chryseobacterium.balustinum_5_TSB",384.33734939759,0.21975554391479,"Hours","OD_595","Chryseobacterium.balustinum",5
"13","Chryseobacterium.balustinum_5_TSB",406.024096385542,0.228388335952506,"Hours","OD_595","Chryseobacterium.balustinum",5
"14","Chryseobacterium.balustinum_5_TSB",359.036144578313,0.221568011175135,"Hours","OD_595","Chryseobacterium.balustinum",5
"15","Chryseobacterium.balustinum_5_TSB",310.843373493976,0.19214248297538,"Hours","OD_595","Chryseobacterium.balustinum",5
"16","Chryseobacterium.balustinum_5_TSB",334.939759036145,0.197290029683953,"Hours","OD_595","Chryseobacterium.balustinum",5
"17","Chryseobacterium.balustinum_5_TSB",261.44578313253,0.159242186135848,"Hours","OD_595","Chryseobacterium.balustinum",5
